Time[us],Temp1[C],Temp2[C],acc1x[m/s2],acc1y,acc1z,gyr1x[dps],gyr1y,gyr1z,acc2x,acc2y,acc2z,gyr2x,gyr2y,gyr2z,unc_acc1x,unc_acc1y,unc_acc1z,unc_gyr1x,unc_gyr1y,unc_gyr1z,unc_acc2x,unc_acc2y,unc_acc2z,unc_gyr2x,unc_gyr2y,unc_gyr2z,raw_float[0],raw_float[1],raw_float[2],raw_float[3],raw_float[4],raw_float[5],raw_float[6],raw_float[7],raw_float[8],raw_float[9],raw_float[10],raw_float[11],raw_float[12],raw_float[13],raw_float[14],raw_teensy_string
2257763115.0,31.5909481,33.02863312,0.10321399437923687,-0.07404557192698864,9.810394280647833,-0.4268294931450678,0.4878048076184803,0.4268294931450678,-0.06514058476598593,-0.04064599408643089,9.6410668520392,-1.1585367045727883,0.4268294931450678,-0.12195120190462007,-0.06913546257488,-0.40432370257488,9.94341589742512,-0.4268294931450678,0.4878048076184803,0.4268294931450678,-0.171194035883776,-0.132886805883776,9.783896654116225,-1.1585367045727883,0.4268294931450678,-0.12195120190462007,31.5909481,33.02863312,2257763115.0,-0.06224924,-0.39743748,9.95030212,-0.00744958,0.0085138,0.00744958,-0.16280572,-0.12449849,9.79228497,-0.02022028,0.00744958,-0.00212845,$ ; 31.59094810 ; 33.02863312 ; 2257763115 ; -0.06224924 ; -0.39743748 ; 9.95030212 ; -0.00744958 ; 0.00851380 ; 0.00744958 ; -0.16280572 ; -0.12449849 ; 9.79228497 ; -0.02022028 ; 0.00744958 ; -0.00212845 ; %
2257769212.0,31.44717979,32.78902054,0.010740856941339756,-0.14641930540286835,9.684250265731176,-0.4268294931450678,0.3658536057138602,0.4268294931450678,-0.10795100126597387,-0.1361785061096469,9.64594736521414,-0.5487806950496878,0.3658536057138602,0.0,-0.159964923444592,-0.475999533444592,9.814279346555407,-0.4268294931450678,0.3658536057138602,0.4268294931450678,-0.214039308660192,-0.228404518660192,9.788935391339807,-0.5487806950496878,0.3658536057138602,0.0,31.44717979,32.78902054,2257769212.0,-0.15322891,-0.46926352,9.82101536,-0.00744958,0.00638535,0.00744958,-0.20590134,-0.22026655,9.79707336,-0.00957803,0.00638535,0.0,$ ; 31.44717979 ; 32.78902054 ; 2257769212 ; -0.15322891 ; -0.46926352 ; 9.82101536 ; -0.00744958 ; 0.00638535 ; 0.00744958 ; -0.20590134 ; -0.22026655 ; 9.79707336 ; -0.00957803 ; 0.00638535 ; 0.00000000 ; %
2257775311.0,31.39925766,32.78902054,0.08337295527827093,-0.21744792273672517,9.755412298766505,0.12195120190462007,0.4878048076184803,0.30487829124044774,-0.10749392073326164,-0.11753100204999885,9.698260848789264,-0.9756096152369605,0.3658536057138602,0.0609758874312076,-0.08808880440316799,-0.547775534403168,9.886155395596832,0.12195120190462007,0.4878048076184803,0.30487829124044774,-0.214039308660192,-0.209250908660192,9.841607781339807,-0.9756096152369605,0.3658536057138602,0.0609758874312076,31.39925766,32.78902054,2257775311.0,-0.08140286,-0.54108959,9.89284134,0.00212845,0.0085138,0.00532113,-0.20590134,-0.20111294,9.84974575,-0.0170276,0.00638535,0.00106423,$ ; 31.39925766 ; 32.78902054 ; 2257775311 ; -0.08140286 ; -0.54108959 ; 9.89284134 ; 0.00212845 ; 0.00851380 ; 0.00532113 ; -0.20590134 ; -0.20111294 ; 9.84974575 ; -0.01702760 ; 0.00638535 ; 0.00106423 ; %
2257781408.0,31.63887215,32.98071289,0.050943293033580785,-0.08370349656655578,9.834455803607973,-0.0609758874312076,0.4268294931450678,0.24390240380924014,-0.04005325969278786,-0.027400167833513636,9.774555283642488,-0.6097560095231004,0.24390240380924014,0.12195120190462007,-0.12185797362232001,-0.41395057362231996,9.96730782637768,-0.0609758874312076,0.4268294931450678,0.24390240380924014,-0.147201948827472,-0.118471528827472,9.918021881172528,-0.6097560095231004,0.24390240380924014,0.12195120190462007,31.63887215,32.98071289,2257781408.0,-0.11492168,-0.40701428,9.97424412,-0.00106423,0.00744958,0.0042569,-0.1388637,-0.11013328,9.92636013,-0.01064225,0.0042569,0.00212845,$ ; 31.63887215 ; 32.98071289 ; 2257781408 ; -0.11492168 ; -0.40701428 ; 9.97424412 ; -0.00106423 ; 0.00744958 ; 0.00425690 ; -0.13886370 ; -0.11013328 ; 9.92636013 ; -0.01064225 ; 0.00425690 ; 0.00212845 ; %
2257793604.0,31.20756531,33.17240143,0.11781609909545636,0.06481507678511844,9.790396283589004,0.0,0.6097560095231004,0.4268294931450678,-0.030606990821526445,0.07760858570079257,9.774187324520698,-0.8536584133323405,0.30487829124044774,0.24390240380924014,-0.054369694235888,-0.265059434235888,9.924662865764112,0.0,0.6097560095231004,0.4268294931450678,-0.137825415014064,-0.013326925014064002,9.917821604985937,-0.8536584133323405,0.30487829124044774,0.24390240380924014,31.20756531,33.17240143,2257793604.0,-0.04788403,-0.25857377,9.93114853,0.0,0.01064225,0.00744958,-0.12928689,-0.0047884,9.92636013,-0.01489915,0.00532113,0.0042569,$ ; 31.20756531 ; 33.17240143 ; 2257793604 ; -0.04788403 ; -0.25857377 ; 9.93114853 ; 0.00000000 ; 0.01064225 ; 0.00744958 ; -0.12928689 ; -0.00478840 ; 9.92636013 ; -0.01489915 ; 0.00532113 ; 0.00425690 ; %
2257799701.0,31.54302597,32.83694077,0.0927390653034904,0.09275433833199781,9.728482105868743,-0.3658536057138602,0.8536584133323405,0.0609758874312076,-0.05926892068002751,0.06388095085965412,9.736256952049898,-1.036585502668168,0.30487829124044774,0.12195120190462007,-0.078662203533456,-0.23667951353345598,9.862063196466544,-0.3658536057138602,0.8536584133323405,0.0609758874312076,-0.166205345716496,-0.027341645716496,9.879864904283503,-1.036585502668168,0.30487829124044774,0.12195120190462007,31.54302597,32.83694077,2257799701.0,-0.07182605,-0.22984336,9.86889935,-0.00638535,0.01489915,0.00106423,-0.15801731,-0.01915361,9.88805294,-0.01809183,0.00532113,0.00212845,$ ; 31.54302597 ; 32.83694077 ; 2257799701 ; -0.07182605 ; -0.22984336 ; 9.86889935 ; -0.00638535 ; 0.01489915 ; 0.00106423 ; -0.15801731 ; -0.01915361 ; 9.88805294 ; -0.01809183 ; 0.00532113 ; 0.00212845 ; %
2257811895.0,31.44717979,32.98071289,0.11097165381642747,-0.16045113216994045,9.678945726789507,-0.30487829124044774,0.914634300763548,0.0,-0.12668103136043715,-0.09878838949625482,9.712138222678908,-0.9756096152369605,0.18292708933582766,0.12195120190462007,-0.059408453444592,-0.490364763444592,9.809490946555407,-0.30487829124044774,0.914634300763548,0.0,-0.233393208827472,-0.190297578827472,9.855772701172528,-0.9756096152369605,0.18292708933582766,0.12195120190462007,31.44717979,32.98071289,2257811895.0,-0.05267244,-0.48362875,9.81622696,-0.00532113,0.01596338,0.0,-0.22505496,-0.18195933,9.86411095,-0.0170276,0.00319268,0.00212845,$ ; 31.44717979 ; 32.98071289 ; 2257811895 ; -0.05267244 ; -0.48362875 ; 9.81622696 ; -0.00532113 ; 0.01596338 ; 0.00000000 ; -0.22505496 ; -0.18195933 ; 9.86411095 ; -0.01702760 ; 0.00319268 ; 0.00212845 ; %
2257824089.0,31.30341148,32.78902054,0.15486960789450066,0.002416396336879707,9.719723947252042,-0.18292708933582766,0.4878048076184803,0.3658536057138602,-0.15944072613725704,-0.07529658186980481,9.769125648384037,-0.7317072114277204,0.18292708933582766,-0.18292708933582766,-0.016162614314304,-0.327408814314304,9.852736745685696,-0.18292708933582766,0.4878048076184803,0.3658536057138602,-0.266711738660192,-0.166155278660192,9.913433761339807,-0.7317072114277204,0.18292708933582766,-0.18292708933582766,31.30341148,32.78902054,2257824089.0,-0.00957681,-0.32082301,9.85932255,-0.00319268,0.0085138,0.00638535,-0.25857377,-0.15801731,9.92157173,-0.0127707,0.00319268,-0.00319268,$ ; 31.30341148 ; 32.78902054 ; 2257824089 ; -0.00957681 ; -0.32082301 ; 9.85932255 ; -0.00319268 ; 0.00851380 ; 0.00638535 ; -0.25857377 ; -0.15801731 ; 9.92157173 ; -0.01277070 ; 0.00319268 ; -0.00319268 ; %
2257836282.0,31.73471642,32.98071289,0.14586136173185765,0.07388197065846522,9.78483404175229,0.0,0.4268294931450678,0.3658536057138602,-0.006803925829184207,0.05427136751281237,9.741321059511277,-0.5487806950496878,0.18292708933582766,-0.12195120190462007,-0.026190041715616005,-0.256033401715616,9.919323698284384,0.0,0.4268294931450678,0.3658536057138602,-0.113683128827472,-0.037068668827472,9.884503091172528,-0.5487806950496878,0.18292708933582766,-0.12195120190462007,31.73471642,32.98071289,2257836282.0,-0.01915361,-0.24899697,9.92636013,0.0,0.00744958,0.00638535,-0.10534488,-0.02873042,9.89284134,-0.00957803,0.00319268,-0.00212845,$ ; 31.73471642 ; 32.98071289 ; 2257836282 ; -0.01915361 ; -0.24899697 ; 9.92636013 ; 0.00000000 ; 0.00744958 ; 0.00638535 ; -0.10534488 ; -0.02873042 ; 9.89284134 ; -0.00957803 ; 0.00319268 ; -0.00212845 ; %
2257842381.0,31.44717979,32.83694077,0.139980589815328,0.06415157909670245,9.685970975798712,0.12195120190462007,0.4878048076184803,0.18292708933582766,-0.0545965392089836,0.030513975593217016,9.726854902553537,-0.7317072114277204,0.3658536057138602,0.12195120190462007,-0.030678033444592002,-0.265309783444592,9.819067746555406,0.12195120190462007,0.4878048076184803,0.18292708933582766,-0.161416945716496,-0.060860475716496,9.870288104283503,-0.7317072114277204,0.3658536057138602,0.12195120190462007,31.44717979,32.83694077,2257842381.0,-0.02394202,-0.25857377,9.82580376,0.00212845,0.0085138,0.00319268,-0.15322891,-0.05267244,9.87847614,-0.0127707,0.00638535,0.00212845,$ ; 31.44717979 ; 32.83694077 ; 2257842381 ; -0.02394202 ; -0.25857377 ; 9.82580376 ; 0.00212845 ; 0.00851380 ; 0.00319268 ; -0.15322891 ; -0.05267244 ; 9.87847614 ; -0.01277070 ; 0.00638535 ; 0.00212845 ; %
